ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Modified Energy Factor (MEF),US Federal Standard (MEF),Annual Energy Use (kWh/yr),Water Factor (WF),US Federal Standard (WF),Integrated Water Factor (IWF),US Federal Standard (IWF),Date Available On Market,Date Certified,Markets,CB Model Identifier
2309749,Electrolux,W5105H,,52204704289867,Front Load,Other,Commercial,3.2,2.42,2.0,95,,5.5,3.4,4.1,12/19/2017,04/25/2013,"United States, Canada",ES_1082677_W5105H_06232015141607_8781549
2309714,Electrolux,W5130H,,65204224579867,Front Load,Other,Commercial,4.2,2.49,2.0,111,,5.5,4.2,4.1,12/19/2017,04/25/2013,"United States, Canada",ES_1082677_W5130H_06232015135002_5918237
2309711,Electrolux,W5180H,,65204224339867,Front Load,Other,Commercial,5.8,2.3,2.0,199,,5.5,4.1,4.1,05/02/2013,04/25/2013,"United States, Canada",ES_1082677_W5180H_06232015142616_2553369
2310991,Electrolux,W555H,,600550162394986,Front Load,None,Commercial,1.7,2.36,2.0,49,,5.5,4.2,4.1,12/19/2017,02/23/2018,"United States, Canada",ES_1082677_W555H_02162018114143_4939844
2309750,Electrolux,W575H,,52204701629,Front Load,None,Commercial,2.5,2.41,2.0,74,,5.5,4.1,4.1,12/19/2017,04/25/2013,"United States, Canada",ES_1082677_W575H_06232015133247_7845880
2309684,Haier,HWF09810,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_HWF09810_01222018013557_70170755
2309685,Haier,WHLFP715M,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_WHLFP715M_01222018013557_70170755
2307187,Huebsch,HFNB*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_HFNB*ASG115+_12012017065805_2266922
2307188,Huebsch,HFNB*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_HFNB*ASP115+_12012017065805_2266922
2307189,Huebsch,HFNB*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_HFNB*RSP115+_12012017065805_2266922
2307190,Huebsch,HFNK*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_HFNK*ASG115+_12012017065805_2266922
2307191,Huebsch,HFNK*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_HFNK*ASP115+_12012017065805_2266922
2307192,Huebsch,HFNN*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,Canada,ES_1105877_HFNN*ASP115+_12012017065805_2266922
2307193,Huebsch,HFNN*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,Canada,ES_1105877_HFNN*RSP115+_12012017065805_2266922
2307184,Huebsch,HFNS*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,Canada,ES_1105877_HFNS*RSP115+_12012017065805_2266922
2307194,Huebsch,HFNZ*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_HFNZ*ASG115+_12012017065805_2266922
2307195,Huebsch,HFNZ*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_HFNZ*ASP115+_12012017065805_2266922
2307181,Huebsch,YFNE5***115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,59,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_YFNE5***115+_12012017065805_2266922
2309844,Kenmore,4195*71*,,883049474380,Front Load,None,Commercial,3.1,2.2,2.0,110,,5.5,4,4.1,08/01/2017,02/01/2018,"United States, Canada",ES_15649_4195*71*_02012018203418_7258360
2309692,Laundrylux,EHWF09810M,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_EHWF09810M_01222018013552_70170755
2309693,Laundrylux,EHWF09810NM,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_EHWF09810NM_01222018013511_70170755
2309690,Laundrylux,WHWF09810M,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_WHWF09810M_01222018013549_70170755
2309691,Laundrylux,WHWF09810NM,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_WHWF09810NM_01222018013556_70170755
2307177,LG,GCWF1069**#,,1,Front Load,None,Commercial,3.7,2.4,2.0,120,,5.5,3.8,4.1,01/01/2017,12/01/2017,"United States, Canada",ES_1118034_GCWF1069**#_12012017042238_70165196
2310663,LG,GCWL1069**#,,1,Front Load,None,Commercial,3.7,2.4,2.0,100,,5.5,4,4.1,02/14/2018,02/14/2018,"United States, Canada",ES_1118034_GCWL1069**#_02142018030116_70174336
2308949,LG,TCW2013***,,1,Front Load,None,Commercial,5.2,2.2,2.0,150,,5.5,4,4.1,01/01/2017,01/09/2018,"United States, Canada",ES_1118034_TCW2013***_01092018035655_70169036
2308367,Maytag,MHN33PDCW**,,883049391236,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,03/14/2016,12/26/2017,"United States, Canada",ES_22856_MHN33PDCW**_04252016205921_7961203
2312892,Maytag,MHN33PDCX**,,883049391236,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,03/15/2016,12/26/2017,"United States, Canada",ES_22856_MHN33PDCX**_03202018210826_0106892
2312893,Maytag,MHN33PRCW**,,883049391236,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,03/16/2016,12/26/2017,"United States, Canada",ES_22856_MHN33PRCW**_03202018212439_1079095
2308049,Maytag,MLE22PDAY**,,883049433554,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLE22PDAY**_12182017192909_5349278
2308060,Maytag,MLE22PDAZ**,,883049433561,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLE22PDAZ**_12182017192827_5307898
2308074,Maytag,MLE22PRAY**,,883049433592,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLE22PRAY**_12182017192746_5266837
2308078,Maytag,MLE22PRAZ**,,883049439532,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLE22PRAZ**_12182017192656_5216698
2308089,Maytag,MLG22PDAW**,,883049439549,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLG22PDAW**_12182017192611_5171869
2308091,Maytag,MLG22PRAW**,,883049433844,Front Load,Other,Commercial,3.1,2.2,2.0,90,,5.5,3.5,4.1,01/02/2018,12/18/2017,"United States, Canada",ES_22856_MLG22PRAW**_12182017192524_5124427
2307182,Primus,PFNE3***115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,59,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_PFNE3***115+_12012017065805_2266922
2307196,Primus,PFNJ*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_PFNJ*ASG115+_12012017065805_2266922
2307197,Primus,PFNJ*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_PFNJ*ASP115+_12012017065805_2266922
2307178,Speed Queen,LFN50***115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,59,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_LFN50***115+_12012017065805_2266922
2307179,Speed Queen,LFNE5***115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,59,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_LFNE5***115+_12012017065805_2266922
2307185,Speed Queen,SFNB*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNB*ASP115+_12012017065805_2266922
2307186,Speed Queen,SFNB*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNB*RSP115+_12012017065805_2266922
2307206,Speed Queen,SFND*AJP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFND*AJP115+_12012017065805_2266922
2307207,Speed Queen,SFND*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFND*ASG115+_12012017065805_2266922
2307208,Speed Queen,SFND*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFND*ASP115+_12012017065805_2266922
2307209,Speed Queen,SFND*BSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFND*BSP115+_12012017065805_2266922
2307210,Speed Queen,SFND*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFND*RSP115+_12012017065805_2266922
2307198,Speed Queen,SFNN*AJP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNN*AJP115+_12012017065805_2266922
2307199,Speed Queen,SFNN*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNN*ASG115+_12012017065805_2266922
2307200,Speed Queen,SFNN*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNN*ASP115+_12012017065805_2266922
2307201,Speed Queen,SFNN*BSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNN*BSP115+_12012017065805_2266922
2307202,Speed Queen,SFNN*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNN*RSP115+_12012017065805_2266922
2307183,Speed Queen,SFNS*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNS*RSP115+_12012017065805_2266922
2307203,Speed Queen,SFNW*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNW*ASG115+_12012017065805_2266922
2307204,Speed Queen,SFNW*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNW*ASP115+_12012017065805_2266922
2307205,Speed Queen,SFNW*RSP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_SFNW*RSP115+_12012017065805_2266922
2307211,Speed Queen,SFNY*ASG115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNY*ASG115+_12012017065805_2266922
2307212,Speed Queen,SFNY*ASP115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,44,,5.5,4,4.1,12/01/2017,12/01/2017,"United States, Canada",ES_1105877_SFNY*ASP115+_12012017065805_2266922
2307180,Unimac,UFNE5***115+,,1,Front Load,None,Commercial,3.4,2.2,2.0,59,,5.5,4,4.1,12/01/2017,12/01/2017,United States,ES_1105877_UFNE5***115+_12012017065805_2266922
2309688,Wascomat,EHWF09810M,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_EHWF09810M_01222018013557_70170755
2309689,Wascomat,EHWF09810NM,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_EHWF09810NM_01222018013557_70170755
2309712,Wascomat,EX745co,,65204224339867,Front Load,Other,Commercial,5.8,2.3,2.0,199,,5.5,4.1,4.1,05/02/2013,04/25/2013,"United States, Canada",ES_1082677_EX745co_06232015142616_6916315
2309686,Wascomat,WHWF09810M,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_WHWF09810M_01222018013557_70170755
2309687,Wascomat,WHWF09810NM,,856013006016,Front Load,None,Commercial,3.5,2.3,2.0,130,,5.5,3.8,4.1,01/01/2018,01/24/2018,"United States, Canada",ES_0031566_WHWF09810NM_01222018013557_70170755
2321021,Whirlpool,CET9000G**,,883049433806,Front Load,None,Commercial,3.1,2.2,2.0,85,,5.5,4,4.1,08/25/2018,06/06/2018,United States,ES_15649_CET9000G**_06062018183814_0294927
2321019,Whirlpool,CET9100G**,,883049480237,Front Load,None,Commercial,3.1,2.2,2.0,85,,5.5,4,4.1,08/25/2018,06/06/2018,United States,ES_15649_CET9100G**_06062018183740_0260491
2321017,Whirlpool,CGT9000G**,,883049432076,Front Load,None,Commercial,3.1,2.2,2.0,85,,5.5,4,4.1,08/25/2018,06/06/2018,United States,ES_15649_CGT9000G**_06062018183654_0214160
2321018,Whirlpool,CGT9100G**,,883049480244,Front Load,None,Commercial,3.1,2.2,2.0,85,,5.5,4,4.1,08/25/2018,06/06/2018,United States,ES_15649_CGT9100G**_06062018183610_0170118
2309840,Whirlpool,CHW9150G**,,883049433509,Front Load,None,Commercial,3.1,2.2,2.0,110,,5.5,4,4.1,08/01/2017,02/01/2018,"United States, Canada",ES_22856_CHW9150G**_05302017123732_7852896
2309841,Whirlpool,CHW9160G**,,883049433516,Front Load,None,Commercial,3.1,2.2,2.0,110,,5.5,4,4.1,08/01/2017,02/01/2018,"United States, Canada",ES_22856_CHW9160G**_05302017124246_8166926
